sim_time_us,node_id,event,peer,detail
1218611641,38,CELL_ALLOC,0x0001,slot=16 ch=11 dir=Transmit
1222312839,10,LIST,0x0027,
1222378175,39,EOL,0x000a,
1225960429,32,LIST,0x0021,
1226121959,33,EOL,0x0020,
1229713700,20,LIST,0x0022,
1229772612,34,EOL,0x0014,
1230827844,24,LIST,0x001e,
1231018635,23,LIST,0x0008,
1231109690,30,EOL,0x0018,
1231214044,8,EOL,0x0017,
1234348812,27,LIST,0x0019,
1234458898,25,EOL,0x001b,
1234491423,6,LIST,0x0019,
1234678000,25,EOL,0x0006,
1241602038,7,LIST,0x0020,
1241743012,32,EOL,0x0007,
1255577742,13,LIST,0x0021,
1255768454,33,EOL,0x000d,
1257142716,8,LIST,0x0022,
1257424996,34,EOL,0x0008,
1260503441,14,LIST,0x0005,
1260642982,5,EOL,0x000e,
1265953453,18,LIST,0x000c,
1265998089,12,EOL,0x0012,
1280977580,4,LIST,0x0020,
1281118272,32,EOL,0x0004,
1286115343,1,LIST,0x0014,
1286157760,20,EOL,0x0001,
1289307008,9,LIST,0x001e,
1289695493,30,EOL,0x0009,
1290751583,30,LIST,0x0001,
1290921253,1,EOL,0x001e,
1298848151,39,LIST,0x000a,
1298923513,10,EOL,0x0027,
1302083106,19,LIST,0x0015,
1302223272,21,EOL,0x0013,
1303619058,17,LIST,0x0016,
1303657912,22,EOL,0x0011,
1315688163,26,LIST,0x0026,
1315794938,38,EOL,0x001a,
1322545468,16,LIST,0x0017,
1322854034,23,EOL,0x0010,
1324856791,38,DELETE,0x0001,
1325105698,15,LIST,0x0026,
1325256456,38,EOL,0x000f,
1325288117,1,SUCCESS,0x0026,
1336258307,40,LIST,0x000b,
1336408891,11,EOL,0x0028,
1365110798,31,LIST,0x0027,
1365224365,39,EOL,0x001f,
1369266435,38,LIST,0x000f,
1369318495,15,EOL,0x0026,
1372285828,37,LIST,0x000c,
1372709279,12,EOL,0x0025,
1377692333,33,LIST,0x000d,
1377979330,13,EOL,0x0021,
1382859521,22,LIST,0x0002,
1383029059,2,EOL,0x0016,
1389011071,11,LIST,0x0028,
1389319373,40,EOL,0x000b,
1403355684,5,LIST,0x0003,
1403503831,3,EOL,0x0005,
1410656772,21,LIST,0x001d,
1410749319,29,EOL,0x0015,
1414484098,24,LIST,0x0009,
1414529604,9,EOL,0x0018,
1423477628,27,LIST,0x0006,
1423665913,6,EOL,0x001b,
1423730622,2,LIST,0x0016,
1423974067,22,EOL,0x0002,
1429688920,35,LIST,0x0019,
1429799260,25,EOL,0x0023,
1438569391,34,LIST,0x0014,
1438619232,20,EOL,0x0022,
1453143278,6,LIST,0x0023,
1453278103,35,EOL,0x0006,
1454882174,38,ADD,0x0001,
1455060638,1,CELL_ALLOC,0x0026,slot=16 ch=7 dir=Receive
1455079694,1,SUCCESS,0x0026,
1455451219,38,CELL_ALLOC,0x0001,slot=16 ch=7 dir=Transmit
1455991532,23,LIST,0x0022,
1456111747,34,EOL,0x0017,
1459730820,18,LIST,0x0025,
1459889711,37,EOL,0x0012,
1465796838,25,LIST,0x0006,
1466008208,6,EOL,0x0019,
1469744946,20,LIST,0x0026,
1469819702,38,EOL,0x0014,
1477418916,12,LIST,0x0011,
1477668579,17,EOL,0x000c,
1479971939,1,LIST,0x0022,
1480049566,34,EOL,0x0001,
1485228821,29,LIST,0x0015,
1485825832,21,EOL,0x001d,
1489246314,15,LIST,0x001e,
1489335073,30,EOL,0x000f,
1496123913,13,LIST,0x001c,
1496235731,28,EOL,0x000d,
1497324739,41,LIST,0x0003,
1497544855,3,EOL,0x0029,
1497821015,41,LIST,0x0005,
1498005289,5,EOL,0x0029,
1498194363,41,ADD,0x0003,
1498320711,3,CELL_ALLOC,0x0029,slot=9 ch=4 dir=Receive
1498336092,3,SUCCESS,0x0029,
1501374626,14,LIST,0x0028,
1501619736,40,EOL,0x000e,
1513824478,17,LIST,0x0012,
1513909276,18,EOL,0x0011,
1514725564,30,LIST,0x0026,
1514865254,38,EOL,0x001e,
1516731875,8,LIST,0x000e,
1516934805,14,EOL,0x0008,
1521361549,3,LIST,0x0005,
1521669956,5,EOL,0x0003,
1522575060,41,ADD,0x0003,
1522725908,3,CELL_ALLOC,0x0029,slot=9 ch=4 dir=Receive
1522740096,3,SUCCESS,0x0029,
1522909632,41,CELL_ALLOC,0x0003,slot=9 ch=4 dir=Transmit
1528996379,26,LIST,0x000f,
1529025055,15,EOL,0x001a,
1539094372,37,LIST,0x0012,
1539270984,18,EOL,0x0025,
1540215874,19,LIST,0x001f,
1540354420,31,EOL,0x0013,
1546580065,16,LIST,0x0007,
1546665167,7,EOL,0x0010,
1549794615,31,LIST,0x0013,
1549980475,19,EOL,0x001f,
