sim_time_us,node_id,period,total,cpu,lpm,deep_lpm,radio_tx,radio_rx,radio_total
300785930,21,4,1966080,65915,1900165,0,3245,54859,58104
300794839,15,4,1966080,59467,1906613,0,4862,51643,56505
300815230,23,4,1966079,68641,1897438,0,5154,58518,63672
300819176,26,4,1966298,78631,1887667,0,5562,72445,78007
300829416,10,4,1966091,51535,1914556,0,125,1965967,1966092
300840519,4,4,1966080,74785,1891295,0,5729,72683,78412
300864876,39,4,1966080,47606,1918474,0,124,1965955,1966079
300875874,3,4,1966079,62468,1903611,0,4278,64613,68891
300882064,34,4,1966079,73532,1892547,0,4802,59756,64558
300899763,27,4,1966056,91706,1874350,0,7063,91282,98345
300900648,22,4,1966080,85335,1880745,0,5794,75373,81167
301007764,24,4,1966080,52810,1913270,0,124,1965955,1966079
301024462,7,4,1966080,48751,1917329,0,124,1965955,1966079
301044948,33,4,1966091,51735,1914356,0,124,1965967,1966091
301061577,14,4,1966079,57313,1908766,0,4017,54365,58382
301081099,41,4,1966080,48231,1917849,0,78,1966001,1966079
301077830,30,4,1966080,55388,1910692,0,2787,54020,56807
301157163,6,4,1966080,53059,1913021,0,3112,67698,70810
301179553,2,4,1966087,56992,1909095,0,1051,1630971,1632022
301243086,40,4,1966080,47759,1918321,0,124,1965955,1966079
301260059,25,4,1966080,48570,1917510,0,124,1965955,1966079
360286232,20,5,1966170,63477,1902693,0,6138,73381,79519
360316759,36,5,1966080,75411,1890669,0,6590,77598,84188
360321151,38,5,1966373,54016,1912357,0,5182,53541,58723
360327883,19,5,1966080,76551,1889529,0,5240,56598,61838
360333353,11,5,1966149,63438,1902711,0,2244,665602,667846
360369590,42,5,1966080,41544,1924536,0,0,1966080,1966080
360384687,13,5,1966057,81292,1884765,0,8638,80916,89554
360410388,8,5,1966091,50610,1915481,0,124,1965967,1966091
360422071,35,5,1966080,65404,1900676,0,3718,55082,58800
360446413,5,5,1966060,81059,1885001,0,8981,94772,103753
360464802,37,5,1966080,80989,1885091,0,5064,69680,74744
360481231,17,5,1966080,50177,1915903,0,124,1965955,1966079
360479934,18,5,1966087,83972,1882115,0,5283,668940,674223
