sim_time_us,node_id,event,peer,detail
482030404,41,CELL_ALLOC,0x0021,slot=20 ch=15 dir=Transmit
482239063,26,LIST,0x0012,
482325968,18,EOL,0x001a,
485475752,16,EOL,0x0008,
485580187,4,LIST,0x0005,
485709936,5,EOL,0x0004,
489760221,8,ADD,0x0010,
491922218,14,ADD,0x0001,
492029165,26,ADD,0x0012,
492590032,18,SUCCESS,0x001a,
492943475,26,CELL_ALLOC,0x0012,slot=3 ch=6 dir=Transmit
492965778,26,SUCCESS,0x0012,
493194445,33,LIST,0x0029,
493319181,18,CELL_ALLOC,0x001a,slot=3 ch=6 dir=Receive
498014145,6,LIST,0x0007,
498076015,7,EOL,0x0006,
499170688,41,EOL,0x0021,
503069529,7,ADD,0x000f,
504335520,29,LIST,0x0015,
505015037,21,EOL,0x001d,
506339685,15,ADD,0x000e,
509815821,21,LIST,0x0016,
509880895,22,EOL,0x0015,
513326489,36,LIST,0x001c,
513478746,28,EOL,0x0024,
516249176,12,LIST,0x000d,
516739156,12,LIST,0x0004,
519181398,4,EOL,0x000c,
519496526,13,EOL,0x000c,
519688434,12,ADD,0x000d,
520573843,14,ADD,0x0001,
521702895,13,CELL_ALLOC,0x000c,slot=3 ch=14 dir=Receive
521717004,13,SUCCESS,0x000c,
521870701,12,CELL_ALLOC,0x000d,slot=3 ch=14 dir=Transmit
522122400,19,LIST,0x000b,
522165754,11,EOL,0x0013,
530230252,15,ADD,0x000e,
534599308,8,ADD,0x0010,
540454116,14,ADD,0x0001,
543955744,3,LIST,0x000b,
544066607,11,EOL,0x0003,
548821299,18,LIST,0x0013,
548941121,19,EOL,0x0012,
551506396,5,LIST,0x000d,
551572296,13,EOL,0x0005,
560385512,27,LIST,0x0013,
560446727,19,EOL,0x001b,
560969387,11,LIST,0x000c,
561076957,12,EOL,0x000b,
569539451,33,ADD,0x0029,
569607554,41,SUCCESS,0x0021,
569672248,14,ADD,0x0001,
569775725,33,CELL_ALLOC,0x0029,slot=17 ch=10 dir=Transmit
569788743,33,SUCCESS,0x0029,
570086773,41,CELL_ALLOC,0x0021,slot=17 ch=10 dir=Receive
570656665,12,LIST,0x0014,
572731958,20,EOL,0x000c,
574691261,15,ADD,0x000e,
576202352,7,ADD,0x000f,
591259813,8,ADD,0x0010,
593288163,23,LIST,0x0018,
595246348,24,EOL,0x0017,
603605292,15,ADD,0x000e,
609420624,32,LIST,0x0021,
609586833,33,EOL,0x0020,
610550172,28,LIST,0x0014,
610681390,20,EOL,0x001c,
612474350,24,LIST,0x0010,
612571515,16,EOL,0x0018,
614403219,2,LIST,0x0003,
614657663,37,LIST,0x001d,
614811610,3,EOL,0x0002,
614923756,29,EOL,0x0025,
616108878,40,LIST,0x0020,
616600679,40,LIST,0x0029,
617580277,16,LIST,0x000f,
618437392,20,LIST,0x000c,
618556693,12,EOL,0x0014,
619909515,41,EOL,0x0028,
620385057,39,LIST,0x001f,
620871083,39,LIST,0x0026,
621242413,32,EOL,0x0028,
621374217,39,LIST,0x0028,
621432013,40,ADD,0x0020,
623596515,15,EOL,0x0010,
624885858,7,ADD,0x000f,
628183080,32,CELL_ALLOC,0x0028,slot=19 ch=0 dir=Receive
628197192,32,SUCCESS,0x0028,
630396412,40,CELL_ALLOC,0x0020,slot=19 ch=0 dir=Transmit
630519501,28,ADD,0x0014,
630718264,20,SUCCESS,0x001c,
630956079,28,CELL_ALLOC,0x0014,slot=9 ch=9 dir=Transmit
630970406,28,SUCCESS,0x0014,
631007265,31,EOL,0x0027,
631068122,20,CELL_ALLOC,0x001c,slot=9 ch=9 dir=Receive
631952051,38,EOL,0x0027,
632267183,40,EOL,0x0027,
633887352,31,LIST,0x0017,
634103872,23,EOL,0x001f,
634350268,39,ADD,0x001f,
634625770,31,CELL_ALLOC,0x0027,slot=3 ch=11 dir=Receive
634640556,31,SUCCESS,0x0027,
634812565,39,CELL_ALLOC,0x001f,slot=3 ch=11 dir=Transmit
637652006,16,ADD,0x000f,
639219566,41,LIST,0x0028,
639355614,40,EOL,0x0029,
639969253,1,LIST,0x001e,
640142011,30,EOL,0x0001,
641291031,8,ADD,0x0010,
653511522,15,ADD,0x000e,
656391976,38,LIST,0x0025,
656486245,37,EOL,0x0026,
657341501,30,LIST,0x0026,
658410902,34,LIST,0x001a,
658668798,26,EOL,0x0022,
661718378,10,LIST,0x0012,
662062001,18,EOL,0x000a,
671190205,16,ADD,0x000f,
672076710,35,LIST,0x0024,
672410966,36,EOL,0x0023,
672551385,13,LIST,0x000c,
672587260,12,EOL,0x000d,
674194520,7,ADD,0x000f,
677072293,8,ADD,0x0010,
677933457,22,LIST,0x0017,
678092019,23,EOL,0x0016,
678682039,21,LIST,0x000d,
680297181,13,EOL,0x0015,
686795688,40,LIST,0x0027,
686912352,39,EOL,0x0028,
703942222,26,LIST,0x001b,
704043634,27,EOL,0x001a,
709463590,16,ADD,0x000f,
713366148,29,LIST,0x001c,
713409992,15,ADD,0x000e,
713539543,28,EOL,0x001d,
716235669,4,LIST,0x0003,
716327655,3,EOL,0x0004,
719491365,7,ADD,0x000f,
728492435,36,LIST,0x0025,
728658004,37,EOL,0x0024,
728935949,6,LIST,0x0005,
729213860,5,EOL,0x0006,
730854604,14,LIST,0x0016,
730931689,8,ADD,0x0010,
739735338,14,ADD,0x0001,
746551970,19,LIST,0x0014,
746839316,20,EOL,0x0013,
748489508,18,LIST,0x001a,
