sim_time_us,node_id,event,peer,detail
485940563,10,EOL,0x0027,
489391960,38,LIST,0x000f,
489570801,15,EOL,0x0026,
508803612,31,ADD,0x0027,
508965437,39,SUCCESS,0x001f,
509185861,31,CELL_ALLOC,0x0027,slot=20 ch=8 dir=Transmit
509198907,31,SUCCESS,0x0027,
509327478,39,CELL_ALLOC,0x001f,slot=20 ch=8 dir=Receive
514051480,31,LIST,0x0013,
514140683,19,EOL,0x001f,
518415759,35,LIST,0x000d,
518551392,13,EOL,0x0023,
522682432,16,LIST,0x0007,
522795647,7,EOL,0x0010,
533309091,16,ADD,0x0007,
533383132,7,SUCCESS,0x0010,
533700180,16,CELL_ALLOC,0x0007,slot=17 ch=1 dir=Transmit
533713188,16,SUCCESS,0x0007,
534168157,7,CELL_ALLOC,0x0010,slot=17 ch=1 dir=Receive
535589301,15,LIST,0x0026,
535711181,38,EOL,0x000f,
548553435,40,LIST,0x0005,
548791824,5,EOL,0x0028,
549045898,40,LIST,0x000e,
549106319,14,EOL,0x0028,
549295732,40,ADD,0x0005,
549422842,5,CELL_ALLOC,0x0028,slot=4 ch=15 dir=Receive
549437042,5,SUCCESS,0x0028,
549591158,40,CELL_ALLOC,0x0005,slot=4 ch=15 dir=Transmit
552100394,5,LIST,0x0028,
552256500,40,EOL,0x0005,
560316922,14,LIST,0x0028,
560446498,40,EOL,0x000e,
566083243,30,LIST,0x000f,
566116332,15,EOL,0x001e,
566328377,1,LIST,0x001e,
566431567,30,EOL,0x0001,
572760284,17,LIST,0x000c,
572881092,12,EOL,0x0011,
579242751,20,LIST,0x0001,
579878199,1,EOL,0x0014,
591431251,8,LIST,0x0017,
591677571,23,EOL,0x0008,
593861042,23,ADD,0x0010,
594016973,16,SUCCESS,0x0017,
594195531,23,CELL_ALLOC,0x0010,slot=13 ch=7 dir=Transmit
594208624,23,SUCCESS,0x0010,
594587649,16,CELL_ALLOC,0x0017,slot=13 ch=7 dir=Receive
599746583,12,LIST,0x0025,
599821579,37,EOL,0x000c,
610684234,9,LIST,0x001e,
610951905,30,EOL,0x0009,
621216056,34,LIST,0x0001,
621317101,1,EOL,0x0022,
634268961,21,LIST,0x0013,
634306730,19,EOL,0x0015,
634507649,21,ADD,0x0013,
634622610,19,CELL_ALLOC,0x0015,slot=11 ch=8 dir=Receive
634636645,19,SUCCESS,0x0015,
634806069,21,CELL_ALLOC,0x0013,slot=11 ch=8 dir=Transmit
653646103,24,LIST,0x001e,
653826608,30,EOL,0x0018,
661277833,28,LIST,0x000d,
661396731,13,EOL,0x001c,
663643937,6,LIST,0x0019,
663767128,25,EOL,0x0006,
678381080,38,LIST,0x001a,
678572242,26,EOL,0x0026,
694323827,2,LIST,0x0011,
694540041,17,EOL,0x0002,
694673570,2,ADD,0x0011,
694954097,17,CELL_ALLOC,0x0002,slot=13 ch=0 dir=Receive
694968204,17,SUCCESS,0x0002,
695122191,2,CELL_ALLOC,0x0011,slot=13 ch=0 dir=Transmit
699714168,39,LIST,0x001f,
699753657,31,EOL,0x0027,
705890111,13,LIST,0x001c,
706161601,28,EOL,0x000d,
709155947,22,LIST,0x0001,
709431814,1,EOL,0x0016,
714005039,15,LIST,0x001a,
