sim_time_us,node_id,seq
867520499,37,19
868643228,23,16
869178857,39,17
870557607,30,57
871474131,34,57
871543768,9,25
872630273,26,52
873303350,27,32
874599070,35,35
874847437,15,52
874929813,25,38
875566741,14,33
876067751,2,37
877225149,17,44
877685182,24,43
877749260,28,47
877754203,38,55
878703555,6,41
878880367,10,28
879258170,12,38
879709894,40,29
879806219,11,21
880200428,13,36
880469801,5,27
880914177,18,32
881097521,8,38
881148536,22,58
882145468,37,20
882699949,20,58
883678846,39,18
884119761,23,17
885545910,30,58
886787716,34,58
887412864,9,26
887477315,26,53
888823205,27,33
890204878,35,36
890255261,2,38
890792740,15,53
890804833,25,39
891433929,14,34
892291558,17,45
892539651,38,56
892546342,3,0
892888298,24,44
892904304,28,48
893231899,10,29
893923985,12,39
894329656,11,22
894633252,6,42
895022374,40,30
895270721,13,37
895617628,5,28
896078191,8,39
896293528,18,33
896640713,22,59
897911094,37,21
898441717,23,18
898543700,20,59
898624149,39,19
900124025,30,59
900870870,34,59
901614108,9,27
901934989,26,54
903706046,27,34
904974029,2,39
905185036,35,37
905351736,25,40
905810117,14,35
905988080,15,54
906639875,17,46
907741642,3,1
908130875,28,49
908250617,38,57
908286753,24,45
908567864,10,30
909123984,12,40
909680157,5,29
909817624,13,38
909860296,6,43
909915641,11,23
910151500,40,31
910432601,8,40
910922011,22,60
911593862,18,34
911981434,37,22
913041675,23,19
913489646,20,60
913546072,39,20
914161807,16,0
914733438,30,60
916145359,9,28
916683427,34,60
917364658,26,55
918916955,27,35
919867312,25,41
920409942,15,55
920763081,2,40
920974079,35,38
921004808,14,36
921424850,17,47
922696067,24,46
922758390,38,58
922758860,10,31
923319738,3,2
923898123,28,50
924161577,11,24
924600538,40,32
925068779,12,41
925105839,5,30
925453554,6,44
925630125,13,39
925757867,8,41
926184549,37,23
926371043,22,61
926750593,18,35
927606189,20,61
928436648,39,21
928621548,16,1
928989893,23,20
929725577,30,61
930410954,9,29
930897974,34,61
932341210,26,56
933627921,27,36
935040259,2,41
935492312,25,42
935685006,35,39
935699553,14,37
936360676,17,48
936417749,15,56
937126311,10,32
937508750,24,47
938194758,3,3
938638669,28,51
938703787,38,59
939204665,11,25
939811456,40,33
939851617,8,42
940164523,5,31
940481415,37,24
940593403,12,42
941270730,13,40
941297304,6,45
942054786,22,62
942101665,18,36
942724247,16,2
943546970,20,62
943779641,39,22
944217061,23,21
944753458,9,30
945659952,34,62
945702149,30,62
948018526,27,37
948208407,26,57
950081776,2,42
950132670,14,38
950613233,17,49
950969733,25,43
950972427,15,57
951052223,35,40
952020960,10,33
